Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Event Number,Case_ID
"Goldman, Sachs & Co.  200 West Street New York, NY 10282",Financial Services,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,43,2/9/2016,To occur between 5/9/2016 and 7/1/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights and no unions representing affected employees.,"Gena Palumbo, Managing Director and Associate General Counsel",(212) 357-2191,,5454
"Remy USA Industries, L.L.C. 215 Candlewood Road Bay Shore, NY11706",Core Receiving and Distribution Plant,Suffolk | WIB Name: SUFFOLK | Region: Long Island,24,24,2/9/2016,5/10/2016,5/10/2016,Economic,Plant Closing,Plant Closing,No affected employees are subject to representation or bumping rights.,"Herb Blank, Human Resource Director",(765) 778-5998,,5453
"Allied Frozen Storage, Inc. 5000 North American Drive West Seneca, NY14224",Third party warehousing and logistics company,Erie | WIB Name: ERIE | Region: Western Region,64,64,2/11/2016,To occur between 4/1/2016 and 7/31/2016,7/31/2016,Economic,Plant Closing,Plant Closing,"Market, Produce, Warehouse, Frozen Food, Cannery Workers, Drivers and Helpers, Teamsters Local 264","Steve G. Kincanon, Chief Operating Officer",(716) 894-4400,,5452
"Morrison Management Specialists, Inc. @ Nostrand Nursing and Rehabilitation Center 270 Nostrand Avenue Brooklyn, NY11205",Dining and Housekeeping Services,Kings | WIB Name: NEW YORK CITY | Region: New York City,41,41,8/31/2015 Amended 2/4/2016,To occur between 2/4/2016 and 2/29/2016,2/29/2016,Loss of Contract for Services,Plant Closing,Plant Closing,SEIU Local 1199,Denise Swedish,(518) 235-9165,,5450
"PTI - Professional Transportation, Inc. 1521 Route 9W, Building 4, Unit 4B Selkirk, NY12158",Transportation,Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region,54,54,2/5/2016,5/10/2016,5/10/2016,Loss of Contract,Plant Closing,Plant Closing,"United Service Employees Union, Local 1222/USW/UPSEU","Steve Greulich, Director of Human Resources",(812) 485-3527,,5449
"Krinos Foods, LLC 47-00 Northern Blvd Long Island City, NY 11101",Importers & Manufacturers of Specialty Foods,Queens | WIB Name: NEW YORK CITY| Region: New York City,70,No employees will be laid off.All employees are expected to relocate to the new facility.,4/29/2015 Amended:2/5/2016,-----,relocation anticipated to occur between 3/15/2016 and 5/4/2016,"Relocation of operations to 1734  Bathgate Avenue, Bronx, NY 10457",Plant Closing,Plant Closing,Employees will not bump or displace other employees in order to remain employed with the company.,"Maureen  Matjani, Director of Human Resources",(718) 729-9000,,5448
"Al Jazeera America, LLC 305 West 34th Street New York, NY 10001",Cable News Network,New York | WIB Name: NEW YORK CITY| Region: New York City,197,197,1/13/2016 Amended 2/5/2016,To occur between 4/13/2016 and 4/30/2016 or within 14  days thereafter,4/30/2016,Economic,Plant Closing,Plant Closing,News Guild CWA Local 31003,"HJ Chang, Senior Vice President, Human Resources",(646) 582-2031,,5447
"Maslow Media Group, Inc.  305 West 34th Street New York, NY10001",Cable News Network,New York | WIB Name: NEW YORK CITY | Region: New York City,12,12,1/29/2016,To occur between 4/13/2016 and 4/30/2016 or within 14 days thereafter,4/30/2016,Economic,Plant Closing,Plant Closing,No union  presence.No bumping or recall  rights.,Linda Maslow,(202) 965-1100 Ext 105,,5446
"Fujitsu Network Communications, Inc Two Blue Hill Plaza, 6th Floor Pearl River, NY10965",Fiber Optics Communication Equipment,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,77,77,2/3/2016,5/2/2016 or within a 14-day period commencing on that date,5/16/2016,Economic,Plant Closing,Plant Closing,Bumping rights do not exist.,"Jennifer Knox, Sr. Human Resources Business Partner",(972) 479-2838,,5445
"Borax Paper Products, Inc 1390 Spofford Avenue Bronx, NY10474",Full service supplier of food packaging,Bronx | WIB Name: NEW YORK CITY | Region: New York City,101,101,2/2/2016,5/2/2016,2/29/2016 - workers will be kept on sight till 5/2/2016 to transition business to new owner,Sale of business to Imperial Bag & Paper,Plant Closing,Plant Closing,Local 1964 ILA AFL-CIO & CLC11,Howard Hirsch or Ed Skiber,(718) 665-8500,,5444
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,1/28/2016,4/26/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Kim M. Chesher-Nguyen, Supervisor, Benefits Manager",(585) 781-1758,,5443
"D'Agostino Supermarkets 341 Third Avenue New York, NY10010",Supermarket,New York | WIB Name: NEW YORK CITY | Region: New York City,41 (full and part time positions in all 3 locations),41,1/29/2016,5/1/2016,5/1/2016,Economic,Plant Closing,Plant Closing,UFCW Local 1500,"Frank M. Argento, Senior Director Administration",(914) 833-4013,,5442
"Apex Tool Group, LLC 45 Cleveland Street Cortland, NY13045",Forgings and Galvanizing,Cortland | WIB Name: CAYUGA/CORT | Region: Central Region,89,89,5/18/2015  Amended 1/29/2016,To occur in phases between 8/17/2015 and 12/31/2015 (two layoffs postponed to occur between 2/11/2016 and 5/13/2016),12/31/2015,Economic,Plant Closing,Plant Closing,"United Automobile, Aerospace, and Agricultural Implement Workers of American and its affiliate U.A.W. Local #1774, U.A.W. Region 9","Kathie O'Mara, Associate Director, Human Resources",(607) 756-2821Ext 202,,5441
"RCS Capital Corporation (American National Stock Transfer, LLC) 405 Park Avenue New York, NY10022",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY | Region: New York City,9,9,1/29/2016,1/29/2016,1/29/2016,Economic,Plant Closing,Plant Closing,No bumping rights in connection with this action.None of the employees affected are represented by a union.,"Jacqueline Romanillos, Senior Human Resources Generalist",(646) 558-1187,,5440
"Eastman Kodak Company  (Eastman Business Park) 1669 Lake Avenue Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,1/26/2016,4/24/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Kim M. Chesher-Nguyen, Manager, US Benefits",(585) 781-1758,,5439
"New York Life Insurance Company  Information Technology and Finance Operations One Rockwood Road Sleepy Hollow, NY",Life Insurance,Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,21,1/27/2016,to occur between 4/29/2016 and 12/31/2016,-----,Relocation of some functions of the Information Technology,Plant Layoff,Plant Layoff,Bumping arrangements are not available for affected employees.,"Donald P. Vandegrift, Jr.",(212) 576-6598,,5438
"Brach's Supermarket 11 Lawrence Lane Lawrence, NY11559",Supermarket,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,127,127,1/29/2016,on or about 5/1/2016,on or about 5/1/2016,Economic,Plant Closing,Plant Closing,UFCW Local 2013,"Jack Brach, Manager",(516) 239-1030,,5437
"Principal Service Solutions, Inc. (@ Global Foundries) 2070 Route 52 Hopewell Junction, NY12533",Employment Placement Agency,Dutchess | WIB Name: DUTCHESS| Region: Mid-Hudson Region,28,28,1/29/2016,1/26/2016 (13); 1/30/2016 (15),1/30/2016,Maintenance Contract  termination with Applied Materials (AMAT),Plant Closing,Plant Closing,The affected workers are not represented by a union and do not have bumping rights.,"Tim Wylie, President / CEO",(408) 396-8479,,5436
"Manhattan Center Productions 305 West 34th Street New York, NY10001",Cable News Network,New York | WIB Name: NEW YORK CITY | Region: New York City,74,74,1/27/2016,4/30/2016,4/30/2016,Economic,Plant Closing,Plant Closing,Employees will have no bumping or recall rights.,John Terracciano,(646) 293-1072,,5435
"Sterling National Bank 21 Scarsdale Road Yonkers, NY 10707",Financial Institution,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson RegionCounty: New York/Bronx | WIB Name: NEW YORK CITY | Region: New York CityCounty: Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,-----,3,1/28/2016,to occur between 5/2/2016 and 6/7/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Jean Strella, M.S., CBP, CCP, SPRH, Senior Vice President, Chief Human Capital Officer",(845) 369-8086,,5434
"Empire Merchants 49-50 20th Avenue Astoria, NY11105",Wine and alcohol distributors,Queens | WIB Name: NEW YORK CITY | Region: New York City,52,52,1/27/2016,4/28/2016,4/28/2016,Economic,PlantClosing,Plant Closing,United Food & Commercial Workers Local 2D,"Annette E. Perry, Director of Human Resources",(718) 255-2447,,5433
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,1/21/2016,4/19/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Kim M. Chesher-Nguyen, Supervisor, Benefits Manager",(585) 781-1758,,5432
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,1/19/2016,4/20/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Kim M. Chesher-Nguyen, Supervisor, Benefits Manager",(585) 781-1758,,5431
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,1/19/2016,4/17/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Kim M. Chesher-Nguyen, Supervisor, Benefits Manager",(585) 781-1758,,5430
"American HomePatient Regional Billing Center 3556 Lake Shore Road, Suite 400 Buffalo, NY14219",Billing Center,Erie | WIB Name: ERIE | Region: Western Region,42,42,1/27/2016,4/27/2016,4/27/2016,Economic,Plant Closing,Plant Closing,No Employee Representative,"Sandy Irvin, VP Human Resources",(615) 221-8119,,5428
"NEP Image Group, LLC 305 West 34th Street New York, NY 10001",Cable News Network,New York | WIB Name: NEW YORK CITY| Region: New York City,12,12,1/20/2016,4/30/2016,4/30/2016,Economic,Plant Closing,Plant Closing,Employees  will have no bumping rights.,"Lynda Wilkes, Senior Vice President, Human  Resources",(412) 820-6042,,5427
"Restaurant Associates - Deutsche Bank 60 Wall Street, Level A New York, NY 10005",Food Service,New York | WIB Name: NEW YORK CITY| Region: New York City,56,56,1/22/2016,4/4/2016,4/4/2016,Loss of Contract,Plant Closing,Plant Closing,Local 100,"David Clarke,  Vice President",(212) 816-3199,,5426
"Elegance Coating LTD 33 West Service Road Champlain, NY 12919",Vehicle painting and maintenance,Clinton | WIB Name: C-E-F-H| Region: North Country  Region,66,46,1/25/2016,4/25/2016,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights do not exist.,"Jody Wallett,  Human Resources",(518) 298-2888 Ext 107,,5425
"First Choice Staffing Inc. 305 West 34th Street New York, NY 10001",Cable News Network,New York | WIB Name: NEW YORK CITY| Region: New York City,1,1,1/19/2016,4/30/2016,4/30/2016,Economic,Plant Closing,Plant Closing,Employees  will have no bumping rights.,Carole Nadel,(646) 536-5633,,5424
"Ichor Systems 1600 Enterprise Drive Kingston, NY 12401",Engineering and manufacturing,Ulster | WIB Name: ULSTER| Region: Mid-Hudson Region,96,96,1/22/2016,To occur  between 4/21/2016 and 4/29/2016,4/29/2016,Economic,Plant Closing,Plant Closing,The affected employees have no bumping rights.,Rock Martel,(845) 383-1964 Ext 318,,5423
"General Electric Company 381 Broadway Fort Edward, NY12838",Energy Management,Washington | WIB Name: SAR/WAR/WAS | Region: Capital Region,127,127,10/26/2015Amended 1/21/2016,Some layoffs have been postponed to occur between 2/19/2016 and 4/16/2016,4/16/2016,Relocation of Operations,Plant Closing,Plant Closing,"Local 332 United Electrical, Radio and Machine Workers","Louis Kowalski, Human Resources Manager",(518) 746-5617,,5422
"K & L Green Operations LLC 1375 Akron Street Copiague, NY11726",Home energy solutions,Suffolk | WIB Name: SUFFOLK | Region: Long Island,40,40,1/21/2016,To occur between 1/15/2016 and 1/29/2016,1/29/2016,Economic,Plant Closing,Plant Closing,No bumping rights for affected employees.,"Paul Levine, President",(631) 647-4701,,5421
"Al Jazeera America, LLC 305 West 34th Street New York, NY10001",Cable News Network,New York | WIB Name: NEW YORK CITY | Region: New York City,197,197,1/13/2016,To occur between 4/13/2016 and 4/30/2016 or within 14 days thereafter,4/30/2016,Economic,Plant Closing,Plant Closing,News Guild CWA Local 31003,"HJ Chang, Senior Vice President, Human Resources",(646) 582-2031,,5420
"Daikin Applied 4900 Technology Park Boulevard Auburn, NY13021",Air conditioning manufacturing,Cayuga | WIB Name: CAYUGA/CORT | Region: Central Region,11,11,1/14/2016,(11th phase and final) layoffs will occur between 2/1/2016 and 4/4/2016.,12/31/2015,Economic-relocation of operations,Plant Closing,Plant Closing,"United Steelworkers, Local 32","Matthew Alexejun, Director, Human Resources",(315) 282-6296,,5419
"Apple Inc. 100-104 Fifth Avenue, 14th Floor New York, NY10011",Advertising for Apple,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,49,1/15/2016,To occur between 4/15/2016 and 7/14/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Pam Oyanagi, Sr. Employee Relations Consultant",(408) 862-4570,,5418
"Prevost Car (US) Inc. 260 Banker Road Plattsburgh, NY12901",Manufacturing of bus line,Clinton | WIB Name: C-E-F-H | Region: North Country Region,55,55,1/15/2016,4/15/2016,4/15/2016,Economic,Plant Closing,Plant Closing,Bumping rights do not exist.,"Tracy Fasking, Human Resources & Communication",(518) 957-2052,,5417
"Ahold USA Inc. American Sales Company 4201 Walden Avenue Lancaster, NY",Warehouse Distribution Center,Erie | WIB Name: ERIE | Region: Western Region,574,574,1/14/2016,To occur between 6/10/2016 and 9/16/2016,9/16/2016,Economic,Plant Closing,Plant Closing,No affected employee is represented by a union.,"Matthew Lutcavage, Vice President of Human Resources",(717) 960-8673,,5416
"Cumberland Packing Corp. 2 Cumberland Street Buildings 22 & 127 Brooklyn Naval Yard Brooklyn, NY11205",Food Production and Packing,Kings | WIB Name: NEW YORK CITY | Region: New York City,335,335,1/14/2016,To occur between 5/1/2016 and 12/31/2016,12/31/2016,Economic,Plant Closing,Plant Closing,"Local 2013, UFCW",Laurent S. Drogin,(212) 216-8000,,5415
"Sequential Brands Group, Inc. 601 West 26th Street - 9th Floor New York, NY10001",Brand Licensing,New York | WIB Name: NEW YORK CITY | Region: New York City,134,134 - 39 employees have been terminated/95 employees have been transferred to another position within the company,1/5/2016,1/5/2016,1/5/2016,Economic,Plant Closing,Plant Closing,There are no bumping rights,"Gary Klein, Chief Financial Officer",(646) 564-2574,,5414
"Granite Services, Inc.  GE Power - Remote Operations Center 1 River Road, Building 53, Room 106 - GE Campus Schenectady, NY12345",Project and Construction Management,Schenectady | WIB Name: CAPITAL DISTRICT | Region: Capital Region,41,41,1/12/2016,3/31/2016,3/31/2016,Loss of Contract,Plant Closing,Plant Closing,Bumping rights do not exist.,"Barbara Dixon, HR Manager",(813) 367-4116,,5413
"Morgan Stanley (Various NYC sites) 1585Broadway New York, NY10036",Financial services,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,414 for all locations,12/8/2015 Amended 1/11/2016,To occur between 3/7/2016 and 4/6/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights are not recognized. Terminated employees are not permitted to displace remaining employees based on seniority or any other factor.,"Joe Falencki, Manager Director, Human Resources",(212) 761-8103,,5412
"RCS Capital Corporation - (Realty Capital Securities) 405 Park Avenue New York, NY10022",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY | Region: New York City,79,79,12/3/2015Amended 1/5/2016,to occur between 11/20/2015 and 3/19/2016,3/19/2016,Economic,Plant Closing,Plant Closing,No bumping rights in connection with this action.None of the employees affected are represented by a union.,"Jacqueline Romanillos, Senior Human Resources Generalist",(646) 558-1187,,5411
"JCPenney Store - Shoppingtown Mall 3649 Erie Boulevard DeWitt, NY13214",Retail Store,Onondaga | WIB Name: ONONDAGA | Region: Central Region,99,99,1/8/2016,To occur between 4/9/2016 and 4/23/2016,on or about 4/23/2016,Economic,Plant Layoff,Plant Closing,No bumping rights exist.,Ray Clark,(972) 431-4536,,5410
"Eastman Kodak  Eastman Business Park 1999 Lake Avenue Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,48,1/5/2016,4/3/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,,5409
"Macy's Eastern Hills Store 4545 Transit Road Williamsville, NY14221",Retail Store,Erie | WIB Name: ERIE | Region: Western Region,80,80,1/6/2016,To occur between 4/6/2016 and 4/19/2016,4/19/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist and employees are not represented by any labor organization or  other representative.,"Chanell Bracey-Davis, Vice President – Labor & Stores Employee Relations",(646) 429-4729,,5408
"Daikin Applied 4900 Technology Park Boulevard Auburn, NY13021",Air conditioning manufacturing,Cayuga | WIB Name: CAYUGA/CORT | Region: Central Region,62,46,12/23/2015,(10th phase and final) layoff will occur on or around 12/18/2015 and conclude by 1/15/2016. A small group will remain until 04/08/2016 to continue to support the transition.,12/31/2015,Economic-relocation of operations,Plant Closing,Plant Closing,"United Steelworkers, Local 32","Matthew Alexejun, Director, Human Resources",(315) 282-6296,,5407
"Macy's Arnot Store 3300Chambers Road South Horseheads, NY14845",Retail Store,Chemung | WIB Name: CSS | Region: Southern Region,79,79,1/6/2016,To occur between 4/6/2016 and 4/19/2016,4/19/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist and employees are not represented by any labor organization or  other representative.,"Chanell Bracey-Davis, Vice President – Labor & Stores Employee Relations",(646) 429-4729,,5406
"Macy's Hudson Valley Store 1300 Ulster Avenue Kingston, NY12401",Retail Store,Ulster | WIB Name: ULSTER | Region: Mid-Hudson Region,72,72,1/6/2016,To occur between 4/6/2016 and 4/19/2016,4/19/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist and employees are not represented by any labor organization or  other representative.,"Chanell Bracey-Davis, Vice President – Labor & Stores Employee Relations",(646) 429-4729,,5405
"Macy's McKinley Store 3701 South McKinley Parkway Buffalo, NY 14219",Retail Store,Erie | WIB Name: ERIE | Region: Western Region,75,75,1/6/2016,To occur between 4/6/2016 and 4/19/2016,4/19/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist and employees are not represented by any labor organization or  other representative.,"Chanell Bracey-Davis, Vice President – Labor & Stores Employee Relations",(646) 429-4729,,5404
"Developmental Disabilities, Inc.,Institute  OPTI-HEALTHCARE 75 Landing Meadow Road Smithtown, NY11787",Clinic,Suffolk | WIB Name: SUFFOLK | Region: Long Island,20,20,1/4/2016,Projected to occur during the 14-day period commencing on 4/1/2016,4/1/2016 or within the 14-day period following this date,Operation of facilities transitioned to LISH,Plant Closing,Plant Closing,Employees are not represented by a union.,"Michael A.  Wolinsky, Director, Human Resources",(631) 366-2907,,5403
"Village Care Plus, Inc. 154 Christopher Street New York, NY10014",Family health care services,New York | WIB Name: NEW YORK CITY | Region: New York City,387,387,1/4/2016,4/3/2016 or within the 14-day period following this date,4/17/2016,Economic,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Karen Zemsky-Czizik, Director of Human Resources",(212) 337-5781,,5400
